and_32p,5.274356828562419e-11
bfe_32p,1.1643855941772462e-10
brev_32p,5.276889638169607e-11
cos_32p,1.0869998667399089e-10
cvt_32p,6.052737659454345e-10
ex2_32p,9.327499009132385e-10
fadd_32p,5.629407048225403e-11
fadd_64p,6.536265051142375e-10
fma_32p,5.8011626091003416e-11
fma_64p,6.52090139357249e-10
fmul_32p,5.396861025778453e-11
fmul_64p,6.379674841721852e-10
iadd_32p,5.905453540547689e-11
imad_32p,2.3975266748428343e-09
imax_32p,5.787428215026856e-11
imin_32p,5.6502584066390993e-11
imul_32p,2.376097219689687e-09
isad_32p,5.719279169082642e-11
lg2_32p,1.0517728175163269e-09
mov_64p,3.170358322525024e-11
or_32p,5.5737439513206486e-11
rcp_32p,8.800553283691406e-10
rsqrt_32p,1.0260536041259766e-09
shl_32p,5.631032220363618e-11
sin_32p,1.0880553546905518e-10
sqrt_32p,1.0208162041982016e-09
xor_32p,5.534413262812296e-11
dram,8.323565288248698e-08
l1_cache,2.261433316479442e-08
l2_cache,2.759242123138428e-08
shd_mem,2.2459604864379884e-08
stall,2.37168294565421e-11
